ISBN,result,price_paperback,price_hardcover
9023421914,"(['  Paperback  \n    \n                             from $36.26                \n\n\n   \n     3 Used from $36.26      '], '9023421914')",,
1847371302,"(['  Kindle  \n $9.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Library Binding  \n $26.80  \n\n\n   \n     2 Used from $18.57         2 New from $20.47      ', '  Paperback  \n $56.00  \n\n\n   \n     2 Used from $21.59         1 New from $56.00      ', '  MP3 CD  \n $17.84  \n\n\n   \n     1 Used from $15.95         2 New from $14.97      ', '  Multimedia CD  \n    \n                             from $29.99                \n\n\n   \n     1 Used from $29.99      '], '1847371302')",56.0,
0385729758,"(['  Kindle  \n $8.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $9.04  \n\n\n   \n     17 Used from $1.99         2 New from $9.04      ', '  Paperback  \n $14.27  \n\n\n   \n     15 Used from $3.87         9 New from $9.59      ', '  Mass Market Paperback  \n $5.99  \n\n\n   \n     11 Used from $1.75         1 New from $5.99      ', '  Audio CD  \n $5.80  \n\n\n   \n     1 New from $5.80      '], '0385729758')",14.27,9.04
0027111008,"(['  Kindle  \n $4.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $4.95  \n\n\n   \n     29 Used from $4.95         3 New from $26.66         1 Collectible from $19.95      ', '  Paperback  \n $5.99  \n\n\n   \n     51 Used from $0.75         24 New from $3.99      '], '0027111008')",5.99,4.95
159558353X,"([], '159558353X')",,
1585473987,"(['  Kindle  \n $6.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Library Binding  \n $50.01  \n\n\n   \n     7 Used from $18.60         2 New from $50.01      ', '  Paperback  \n $14.32  \n\n\n   \n     11 Used from $5.07         8 New from $9.51      ', '  Mass Market Paperback  \n $4.75  \n\n\n   \n     97 Used from $1.15         2 New from $2.70      ', '  Audio CD  \n $24.14  \n\n\n   \n     1 Used from $15.99         2 New from $19.99      '], '1585473987')",14.32,
1597223174,"(['  Kindle  \n $9.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $38.91  \n\n\n   \n     1 Used from $38.91      ', '  Paperback  \n $9.99  \n\n\n   \n     104 Used from $0.99         18 New from $4.00         2 Collectible from $7.95      ', '  Audio CD  \n $99.00  \n\n\n   \n     19 Used from $10.46         2 New from $96.92      '], '1597223174')",9.99,38.91
0340286458,"(['  Kindle  \n $9.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n    \n                        \n    —\n             \n\n\n   \n  ', '  Paperback  \n $16.79  \n\n\n   \n     14 Used from $3.66         6 New from $8.17      ', '  Mass Market Paperback  \n $34.13  \n\n\n   \n     22 Used from $3.49         2 New from $34.13      ', '  MP3 CD  \n $9.99  \n\n\n   \n     1 Used from $5.00         3 New from $8.76      '], '0340286458')",16.79,
0671201530,"(['  Kindle  \n $8.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $29.95  \n\n\n   \n     1 Used from $37.63         3 New from $29.95      ', '  Paperback  \n $9.99  \n\n\n   \n     56 Used from $1.28         1 New from $9.90         3 Collectible from $3.00      ', '  Mass Market Paperback  \n $9.28  \n\n\n   \n     8 Used from $8.24         3 New from $48.98      '], '0671201530')",9.99,29.95
0312962444,"(['  Kindle  \n $11.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $18.99  \n\n\n   \n     31 Used from $1.95         7 New from $3.00         9 Collectible from $3.98      ', '  Paperback  \n $199.98  \n\n\n   \n     4 Used from $199.98      ', '  Mass Market Paperback  \n $7.80  \n\n\n   \n     57 Used from $1.89         1 Collectible from $24.95      ', '  Audio, Cassette  \n $9.87  \n\n\n   \n     3 Used from $9.87      '], '0312962444')",199.98,18.99
0439967139,"(['  Paperback  \n $5.01  \n\n\n   \n     15 Used from $2.25      '], '0439967139')",5.01,
0816137870,"(['  Kindle  \n $7.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $17.00  \n\n\n   \n     1 Used from $17.00      ', '  Paperback  \n $6.74  \n\n\n   \n     8 Used from $2.75      ', '  Mass Market Paperback  \n $15.00  \n\n\n   \n     26 Used from $2.29         1 New from $15.00         2 Collectible from $20.00      '], '0816137870')",6.74,17.0
0739321196,"(['  Kindle  \n $8.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $12.32  \n\n\n   \n     188 Used from $1.18         33 New from $4.98         4 Collectible from $4.22      ', '  Paperback  \n $14.00  \n\n\n   \n     23 Used from $3.50         11 New from $9.31      ', '  Mass Market Paperback  \n $8.99  \n\n\n   \n     113 Used from $1.33         10 New from $5.00         3 Collectible from $7.49      ', '  Audio CD  \n $5.12  \n\n\n   \n     11 Used from $4.80         1 Collectible from $102.71      ', '  Digital  \n    \n                        \n    —\n             \n\n\n   \n  '], '0739321196')",14.0,12.32
2845994885,"(['  Paperback  \n $16.49  \n\n\n   \n     3 Used from $16.29      '], '2845994885')",16.49,
0521235030,"(['  Hardcover  \n $25.97  \n\n\n   \n     6 Used from $19.99      ', '  Paperback  \n $24.95 - $28.99  \n\n\n   \n     5 Used from $19.98         6 New from $24.76      '], '0521235030')",24.95,25.97
0688089445,"(['  Library Binding  \n $9.98  \n\n\n   \n     17 Used from $1.95         7 New from $5.49      ', '  Paperback  \n $8.99  \n\n\n   \n     100 Used from $1.18         26 New from $1.98      ', '  Audio CD  \n $12.95  \n\n\n   \n     1 New from $12.95      '], '0688089445')",8.99,
0316328863,"(['  Kindle  \n $11.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $49.00  \n\n\n   \n     41 Used from $1.98         6 New from $42.01         11 Collectible from $2.35      ', '  Paperback  \n $6.09  \n\n\n   \n     3 Used from $6.09      ', '  Mass Market Paperback  \n $21.44  \n\n\n   \n     51 Used from $1.35         6 New from $20.54         1 Collectible from $7.50      '], '0316328863')",6.09,49.0
0460101188,"(['  Kindle  \n $4.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n    \n                        \n    —\n             \n\n\n   \n  ', '  Paperback  \n $5.25  \n\n\n   \n     3 New from $5.25      '], '0460101188')",5.25,
0394580117,"(['  Hardcover  \n $27.51  \n\n\n   \n     39 Used from $1.35         4 New from $27.51         2 Collectible from $33.00      ', '  Paperback  \n $15.95  \n\n\n   \n     1 New from $15.95      '], '0394580117')",15.95,27.51
0552155780,"(['  Kindle  \n $11.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Paperback  \n $9.56  \n\n\n   \n     11 Used from $3.59      '], '0552155780')",9.56,
1400102367,"(['  Kindle  \n $8.79  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $8.44 - $19.58  \n\n\n   \n     96 Used from $1.75         18 New from $9.00         5 Collectible from $7.50      ', '  Paperback  \n $12.95 - $15.95  \n\n\n   \n     43 Used from $1.69         22 New from $10.95      ', '  Audio CD  \n $39.19  \n\n\n   \n     2 Used from $11.26         2 New from $21.99      '], '1400102367')",12.95,8.44
0448025442,"(['  Kindle  \n $0.62  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $5.99  \n\n\n   \n     24 Used from $2.00         7 Collectible from $9.95      ', '  Paperback  \n $1.90 - $4.69  \n\n\n   \n     2 Used from $1.90         1 New from $4.69      ', '  Mass Market Paperback  \n $6.49 - $7.99  \n\n\n   \n     156 Used from $0.50         33 New from $4.39         1 Collectible from $72.83      ', '  Audio CD  \n $9.99  \n\n\n   \n     1 New from $9.99      '], '0448025442')",1.9,5.99
8466629556,"(['  Hardcover  \n $37.38  \n\n\n   \n     2 Used from $37.38         1 New from $46.73      ', '  Paperback  \n $7.49  \n\n\n   \n     5 Used from $3.51      ', '  Mass Market Paperback  \n $5.56  \n\n\n   \n     3 Used from $5.56         4 New from $15.87      ', '  Flexibound  \n    \n                             from $30.04                \n\n\n   \n     2 Used from $30.04      '], '8466629556')",7.49,37.38
1421516047,"(['  Kindle & Comixology  \n $6.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Paperback  \n $14.86  \n\n\n   \n     10 Used from $2.70      '], '1421516047')",14.86,
1417764406,"(['  Kindle  \n $8.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $4.48  \n\n\n   \n     23 Used from $1.99         1 New from $14.99         2 Collectible from $22.95      ', '  Paperback  \n $8.99  \n\n\n   \n     31 Used from $1.37         11 New from $7.10      ', '  Audio CD  \n $14.99  \n\n\n   \n     1 Used from $7.25         4 New from $10.31      '], '1417764406')",8.99,4.48
1427026157,"(['  Kindle  \n $7.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $14.98  \n\n\n   \n     1 New from $14.98      ', '  Paperback  \n $5.49  \n\n\n   \n     1 New from $5.49      ', '  MP3 CD  \n $19.00  \n\n\n   \n     1 New from $19.00      '], '1427026157')",5.49,14.98
0439928257,"(['  Hardcover  \n $11.99  \n\n\n   \n     16 Used from $2.30         19 New from $7.99      '], '0439928257')",,11.99
0918518652,"(['  Hardcover  \n $127.36  \n\n\n   \n     12 Used from $7.01      '], '0918518652')",,127.36
0739416405,"(['  Kindle  \n $0.00  \n   \n Read with \n                    Kindle Unlimited  to also enjoy access to over 3 million more titles      $3.99 to buy    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $31.95  \n\n\n   \n     6 Used from $2.49         1 New from $31.95      ', '  Paperback  \n    \n                             from $111.99                \n\n\n   \n     2 Used from $111.99      ', '  Mass Market Paperback  \n $8.89  \n\n\n   \n     82 Used from $0.99      ', '  MP3 CD  \n $14.99  \n\n\n   \n     1 New from $14.99      '], '0739416405')",8.89,31.95
0889221901,"(['  Kindle  \n $14.84  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Paperback  \n $19.95  \n\n\n   \n     25 Used from $4.00         8 New from $15.45      '], '0889221901')",19.95,
