,ISBN,result
34,0375841695,"(['  Kindle  \n $6.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $8.37 - $15.93  \n\n\n   \n     34 Used from $1.60         12 New from $11.50         1 Collectible from $15.00      ', '  Paperback  \n $7.92 - $7.99  \n\n\n   \n     23 Used from $1.48         33 New from $5.00      ', '  Mass Market Paperback  \n $11.70  \n\n\n   \n     14 Used from $1.99      ', '  Audio CD  \n $14.99  \n\n\n   \n     2 Used from $14.99      '], '0375841695')"
35,1575663899,"(['  Kindle  \n $0.00  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $26.95  \n\n\n   \n     4 New from $26.95      ', '  Paperback  \n $4.70  \n\n\n   \n     1 New from $4.70      ', '  Mass Market Paperback  \n $7.90  \n\n\n   \n     5 Used from $7.90         1 Collectible from $11.11      ', '  Audio CD  \n $20.37  \n\n\n   \n     2 New from $17.47      '], '1575663899')"
36,0071592539,"(['  eTextbook  \n $40.59  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $49.90 - $68.44  \n\n\n   \n     9 Used from $42.24         6 New from $57.80      '], '0071592539')"
37,8408046195,"([], '8408046195')"
38,141766472X,"(['  Kindle  \n $13.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Library Binding  \n $4.95  \n\n\n   \n     3 Used from $4.95      ', '  Paperback  \n $11.99  \n\n\n   \n     191 Used from $1.57         39 New from $7.98         6 Collectible from $39.95      ', '  Audio CD  \n $7.66  \n\n\n   \n     10 Used from $3.69      '], '141766472X')"
39,094662660X,"(['  Kindle  \n $1.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $15.38  \n\n\n   \n     1 Used from $15.07         17 New from $13.97      ', '  Paperback  \n $8.20  \n\n\n   \n     7 Used from $3.58      '], '094662660X')"
40,1844136795,"(['  Kindle  \n $1.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $31.94  \n\n\n   \n     34 Used from $1.85         5 New from $29.89         5 Collectible from $17.28      ', '  Paperback  \n $2.00  \n\n\n   \n     7 Used from $2.00      ', '  Mass Market Paperback  \n $4.95  \n\n\n   \n     37 Used from $0.95         3 New from $24.44         1 Collectible from $39.95      ', '  Audio, Cassette  \n $59.95  \n\n\n   \n     1 New from $59.95      '], '1844136795')"
41,8374690127,"([], '8374690127')"
42,1401398855,"([], '1401398855')"
43,0830825770,"(['  Kindle  \n $15.19  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Paperback  \n $15.99  \n\n\n   \n     29 Used from $9.16         24 New from $15.95      ', '  Audio CD  \n $39.65  \n\n\n   \n     2 New from $20.99      '], '0830825770')"
