,ISBN,result
30,3618680163,"(['  Kindle  \n $0.48  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $14.22  \n\n\n   \n     1 Used from $17.82         4 New from $9.33      ', '  Paperback  \n $29.21  \n\n\n   \n     6 Used from $22.91         8 New from $26.40      ', '  Audio CD  \n $25.56  \n\n\n   \n     1 Used from $25.56         5 New from $26.34      '], '3618680163')"
31,1568955812,"(['  Kindle  \n $3.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $35.90  \n\n\n   \n     4 Used from $8.53         1 New from $35.90      ', '  Paperback  \n $18.88  \n\n\n   \n     5 Used from $9.12         1 New from $18.88      ', '  Mass Market Paperback  \n $8.99  \n\n\n   \n     77 Used from $1.17         7 New from $2.95      ', '  Audio CD  \n $9.99  \n\n\n   \n     1 Used from $5.99         4 New from $8.76      ', '  Multimedia CD  \n    \n                             from $16.44                \n\n\n   \n     1 Used from $16.44      '], '1568955812')"
32,2070372480,"(['  Paperback  \n    \n                        \n    —\n             \n\n\n   \n  ', '  Pocket Book  \n $11.50  \n\n\n   \n     7 Used from $2.50         8 New from $10.82      '], '2070372480')"
33,0684810948,"(['  Kindle  \n $2.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $10.30  \n\n\n   \n     57 Used from $1.89         5 New from $8.73         15 Collectible from $3.00      ', '  Paperback  \n $9.95  \n\n\n   \n     47 Used from $1.00         1 New from $49.95         1 Collectible from $4.25      ', '  Mass Market Paperback  \n $5.95  \n\n\n   \n     24 Used from $2.00         1 New from $6.49         1 Collectible from $19.95      ', '  Audio, Cassette  \n $13.96  \n\n\n   \n     5 Used from $0.97      '], '0684810948')"
34,0099513986,"(['  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n    \n                             from $9.44                \n\n\n   \n     7 Used from $9.44         2 New from $20.02      ', '  Paperback  \n $22.24  \n\n\n   \n     4 Used from $22.24         1 New from $19.70      ', '  Mass Market Paperback  \n    \n                             from $18.33                \n\n\n   \n     2 Used from $18.33      ', '  Audio CD  \n $21.17  \n\n\n   \n     3 Used from $22.18         12 New from $14.03      '], '0099513986')"
35,0966339797,"([], '0966339797')"
36,0708113850,"(['  Kindle  \n $0.60  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $18.65  \n\n\n   \n     1 New from $18.65      ', '  Paperback  \n $3.99  \n\n\n   \n     1 New from $3.99      ', '  MP3 CD  \n $19.00  \n\n\n   \n     1 New from $19.00      '], '0708113850')"
37,0375408444,"(['  Kindle  \n $6.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $25.99  \n\n\n   \n     17 Used from $4.00         1 New from $25.99         1 Collectible from $20.00      ', '  Paperback  \n $18.70  \n\n\n   \n     5 Used from $2.15         2 New from $14.95      ', '  Mass Market Paperback  \n $7.99  \n\n\n   \n     149 Used from $0.71         4 New from $4.49         2 Collectible from $4.25      ', '  Audio, Cassette  \n    \n                             from $4.95                \n\n\n   \n     6 Used from $4.95         2 New from $6.50      '], '0375408444')"
38,0061238619,"(['  Kindle  \n $12.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $14.89  \n\n\n   \n     25 Used from $2.00         3 New from $10.00         14 Collectible from $7.00      ', '  Paperback  \n $14.99  \n\n\n   \n     32 Used from $1.40         21 New from $9.50      '], '0061238619')"
39,0141182091,"(['  Hardcover  \n $44.00  \n\n\n   \n     3 Used from $44.00         1 Collectible from $32.00      ', '  Paperback  \n    \n                             from $21.96                \n\n\n   \n     4 Used from $21.96      ', '  Mass Market Paperback  \n $8.71  \n\n\n   \n     5 Used from $8.71         1 Collectible from $37.50      '], '0141182091')"
